id,text,label
KUqP5P4g9n0kIpvqXX2SCQ,"I love this place they have everything and all the clothes are like new!!! I come here for sports, dance and other things we need and they always have what I need. I also get holiday dresses which are always wonderful.",5
IlSY4pYK9J453v-xlgQqPA,Frank the server there is awesome! He takes his job seriously and made our experience fantastic.  He doesn't write down his orders but got it 100% right.  He was super friendly and made our evening great! Thank you Frank!,5
qBBV5Dk2c_GV7jmVA5XOjw,Got a double full size bed room. We had reserved the room with time and when we checked in they notified us that they gave our room up which was a non smoking room so they apologized and upgraded us to a view room which had a view to the Ferris wheel. The room didn't smell that bad compared to other smoking rooms the only two complains that I have is that #1 the bathroom door is a sliding door and doesn't stay close all the way :/ which is inconveniently you're sharing with someone else. #2 the walk to the room was long and confusing I got lost once in there lol. And they have an elevator that only goes down to the pool instead of the lobby. If it's a busy weekend and you're all the way to the last floor like we were which is floor 20; expect to stop at every single floor.,4
ZwvOsFYOwlzksteGUoDlDw,"Since when did KFC start serving game hens? I went in to get a couple pieces of chicken only and got the smallest chicken I have ever seen! GO TO POPEYES, they won't screw you. Look at the pic, no photoshop...",1
HmuKGrmqiIAqlpCfJa-qWQ,"I order lunch from here today and it was not awesome. I had a chicken parm sandwich and fries, which is usually a go for me when I try a new place because it is really hard to screw up.....unless you haven't changed the oil in your fryer since LENT! My sandwich and fries tasted like fish fry. The fries were soggy and greasy (which happens with old oil) and my sandwich was over cooked and chewy.
The place is actually cool and in a great location. It could be a great place, but if this sandwich is any indication they need help. Probably an ok place to grab a drink before a show. 
On a side note:
When you order take out you have to walk to the back of the restaurant were the waitress pick up the food for the table and talk to what seems to be a cook who rings you out.....kinda wierd, this is usually done at the bar.

I will give them another shot and update my review later.",2
KGIhlDAA3l9rpm_fbPXwlg,"Absolutely amazing customer service!
Cruiz, the sales associate waa wonderful. she not only helped with picking up the rock but also referred a man who would help with putting the rocks in the backyard.  She even called a person on my behalf and helped me to set up the service. 
When you have this kind of service it makes your day just turn out to be wonderful!!
Thanks again -Vista Rock!",5
m0mnXrCl7dwFNr0aIHNBHw,"Awesome authentic Italian food. The bread was on point, food was unique, and restaurant has a great ambiance. This was a fun spot to try out in Vegas.",5
Jpk6dVRMC4kQW6deDiUCPg,Jennifer has been doing my hair over 8 years!! She is by far one of the best stylists in the Las Vegas Valley.  Her color is the best and she always makes me look and feel beautiful.  JM Hair Gallery has a modern feel and you will be treated like a VIP here. The service at the salon is amazing you won't want to leave.  I love my hair and the beautiful JM Hair Gallery!,5
gJoIi5fM83pybiw51wi6fQ,"The reef is usually a great hangout spot for my friends and I, and usually the staff is awesome. This past sunday I went in with 4 in my group. My server was Diane and immediately we were greeted with an angry hello. All she said after that was ""drinks?"". We all ordered a round of beer (which we had to repeat the name of at least 3 times) and waited for our drinks while she talked bad about another server on duty not even 5 feet from the table. We could hear all the f-bombs she dropped within those 10 minutes of our drinks being delivered. After that she hardly checked on us, and when she did, she wasnt friendly. I asked her for another beer and she mumbled something under her breath and asked me to say it again louder. So instead dealing with an attitude like that I asked for the bill, paid, and left. Nobody should have to deal with that when being served. Possibly the worst experience I've had at a bar and definitely my worst experience here. I'm debating whether or not to even come back.",2
VR_v-K9Z-8WCJtAquQTs_w,"I met up with some work friends for some food and drinks, and this place was DEFINITELY a great choice for dinner. Their tapas selection is huge, and it's so hard to decide what you want to eat. I eventually settled on the chicken spring rolls and the salmon dumplings.

They were both crunchy, cooked to perfection, and piping hot. I loved every bit of what I ate. I also tried some of the Silk Elephant rolls my friend ordered and was a little jealous that I didn't order them for myself.

They also have a pretty decently sized wine menu, though I ended up getting the Widow's Bite to drink. It was pure alcohol.

The wait staff was incredibly friendly. Our waitress didn't speak English very well, but she was still very attentive and did her best to help us pick things out on the menu. Our plates were cleared away pretty much the minute we were finished with them, and the prices were beyond reasonable.

I would definitely come back!",5
xyp3HfJeUrhSv8dQKzD3JQ,"Bottlescrew Bill's Pub has a pub type atmosphere with a great beer selection and quality food.

The first thing I'm obligated to mention is the beer passport. This pub has so many different beers (in bottles) that they challenge you to drink 80 beers and they will add your name to the wall. Overall not too difficult a challenge if you have the time and the money. It ends up being a fun challenge between friends or some excuse to regularly meet up for beers with your friends.

Next I have to talk about the food. A lot of the reviews for the food on this page is for the older menu and not the more updated and delicious menu. I believe the food is of a quality much better than the average pub although you will have to pay a bit more for that pleasure. I would recommend the burgers (especially when it's on special) and the wings (also when they're on special). I had a salad once (although it was so long ago I cannot remember which exactly) and it was very delicious. Overall I don't think you'll be too disappointed.

Also, look for the live music whenever there is some type of holiday around!",4
vTMZENpW6LydcRRSgockSg,New favorite rock hill venue for wine and late afternoon coffee. Their indoor/outdoor vibe is refreshing and surprising for the small town.,5
rRq1NMdWZD4b1RhEu86DTA,"This place definitely has some character. It is a small casino but I absolutely love the vibe! Beads when you enter, raffles to keep you motivated to stay and 99 cents deep fried twinkies and other food. Oh my it was good too!

I stayed and played the penny slots and the waitresses there were some of the nicest I experienced during my one week visit. I was never without a drink in my hands and I wanted to stay longer than I intended...I will be back next time!",5
QH2964ALjsjdtaIw4tLvRA,"Today at 5:15pm, I received an email informing me my pizza would be delivered in 5 minutes.  30 minutes later, I was called by a young lady, asking several questions about my order.  When said said it would be another 45 minutes, I questioned her, and offered to pick up the pizza instead.  She hung up on me.  I called the manager, and cancelled the order.  The trust they were given is gone.  That would have been my first time, but instead, it will be my last.  I bought pizzas from Blaze on Horizon Ridge. Too bad Metro Pizza doesn't deliver.",1
U8Lo1d-iyk4rIoRgsu81hQ,The food isn't very fresh and is overpriced.  The menu is very similar to Costa Vida but Costa Vida is a lot more fresh and the customer service is much better.  I would not recommend it.,2
eQk-uMioh4fMM9fDq-Isuw,"Well that's a rather excellent place to get a great dinner . . Well, I guess kif you like Mexican food . ( I do ). But rather simple service as you go ahead and get your meal made in front of you . But I just had a great wrap made  ( Well rather huge ! ). But not precisely sure about EVERYTHING . Well might as well check it out yourself . ( GREAT PLACE FOR A VEGAN DIET AS WELL ! )",4
WMib9S1J2sQcZsqgRVi5ZQ,"I get excited by new items every time I come here!
Wah Kee is very good at adding flavors to the dishes but without making it too spicy or salty. 
My personal favorites now include clay pots, five-spice beef, appetizers.
Need to explore more the next time I come here, and also try the noodles.",4
pc3gqDajCvnmTPBSCPBhiw,"I have been going to this cleaner now for almost two years.  I never had a problem before.  This trip, I brought in 9  pieces of dry cleaning.  Unfortunately, one piece was completely destroyed and another had a rip in the fabric.  When i brought the items to the owner (a very pleasant woman), she blamed everything on me and did not give me a refund credit or offer to pay for the damaged clothing.  NEEDLESS TO SAY BEWARE OF THIS PLACE!!",1
dTQT42Tlfrle5lRcG8LRew,"I would give them a zero. The service guy Chad was unprofessional and all he did was try and hard sale the whole time. Came out for a yearly maintenance and found all these problems. It's 3 years old and they put it in.  You know the commercials where they say we don't sell you services you don't need well they're talking about this company.  If they call to maintenance your air system, don't do it. They want to charge me 45.00 for a sales call not an air conditioner check.  DONT LET THEM RUIN YOUR DAY OR RIP YOU OFF!",1
0Bi6K_UMWYDVx0d1NXnTsA,"Great location off the I-10. Ambience and service is great as is the food. The green tamale bites are my favorite appetizer. The red and green enchiladas are also tasty. Rice and beans are good, too.",4
HcH44RQK_JUPupPb9kUHWA,This place is great.  Terre has been cutting my hair for years and I wouldn't trust anyone else with my crazy curls.  He always does a great job and gives me exactly what I ask for.  Great Serivce at a Great Price!!,5
t3tmIwwCFKJ7ZRUAqZz-ag,"Pho broth was delicious! I didn't feel like I needed to add any other condiments to make it tasty. Great, quick service. Very clean. Large booths and very spacious restaurant overall.",5
GcRCgWIBLWUE9-I-CIJ_Kw,This place is pretty sketchy. I came here early in the am after a being at Marquee Nightclub all night. I came just to get a few lap dances and then call it a night. I asked the taxi driver to take me to a good strip club. Funny thing is the taxi driver first took me to a massage parlor. I told the dude no just want to go to a decent strip club so he brought me to Cheetas. I walked in and right away a great looking Brazilian girl walks me in sits me down asks if I want a drink I say sure so she orders one for her self and for me. No big deal we shoot the shit talk for a while then she asks if I want a lap dance. I say sure I will take one she walks me to the back. gives me a dance 20 minutes later I ask how much she tells me $250 I say you must be joking right? Next thing you know I have 2 bouncers telling me to pay up. I have no choice than to pay or probably end up beaten up and thrown in the alley. So I pay up and leave.. Not only did I pay the $250 but she also kept reaching my pockets and taking the cash that I had in my pocket as well during this dance. Talk about a bunch of thief's. This place is a joke and I wont be coming back here ever again!,1
iV-gIe2Dt9VuicYyN1PYmA,"Went about a year ago and had a bad experience. Gave it a second chance and went again tonight with 4 old friends, it was a disaster. Poor service, cold food, forgotten sides, undercooked steaks. Nonexistent management. Walked out without eating. I will never set foot in this restaurant again.",1
Ig31UTbw-oZZiAKPiWylqw,Celebrated our anniversary at Carmelina's - great food and excellent service.  The staff have been here for 10+ years and are really caring and attentive.   On Friday's and Saturday's there is live music - they have excellent ambience and this is really a hidden gem in Markham.,4
0E5k26ARhIKZpOtwgAIj4A,"So far I've ate here 3 times. The first was an okay experience with the staff and I had the chicken pesto pizza which was alright, but kinda dry. The second time was take out and the experience with the staff was slow and unconcerned. The third time was the worst and last time I will be eating here. I dined in and had the turkey and avocado salad with no tomatoes (personal preference, no allergy). My sister was with me and ordered the same. It took 30 mins for her food to come out and it ended up having tomatoes on the salad. No silverware was provided and when we asked for it, it took quite some time to be provided. My food however took 45 mins to come out and didn't have tomatoes but it also didn't have Avocado - which is part of the name of the salad. I only had an hour lunch since it was during work hours and ended up asking them to box it to go and adding avocado. The staff didn't seem to care that the food took way longer than it should have and the guy who boxed my food seemed put out that I requested avocado to be added when boxed. Needless to say, I won't be eating here for a while, or ever again if I don't have to!",2
PundirL9n4pYjOrG_IZM2w,"I just returned from a weekend trip to Las Vegas and stayed at Aria. I was really excited as I heard it was a great hotel and was highly recommended by my friends and family.
At first I was totally awestruck with the place. Visually it was beautiful and we were taken aback by the size of the bathroom. However when I went  to take a shower I noticed a pile of blond hair stuck to the wall of the shower. Now, I am a girl and I understand we shed hair, however you would think that the housekeeping staff would clean the bathroom walls. 
We called to complain about the hair and the staff was really friendly and said that they would come take care of the situation. That evening we came back to our room to find the hair still on the walls of the shower. This time we went down to the front desk to complain but all they did was type the complaint in the computer and said they will take care of it.
In the end, nothing was taken care of,. We found a lady in the hallway who was dealing with turndown service, showed her the hair, and even though she wasnt a housekeeper, cleaned the mess for us out of the kindness of her heart.
Needless to say I was slightly disgusted everytime I went to shower. The tub looked so inviting, but never in a million years would I recommend it because I am unsure about the cleanliness of the state of the bathroom.",2
Nj3sXy8aMg8pePTfa7wNzw,I'm still annoyed with whoever the incompetent idiots were who were working that day. To think I actually tipped you many times is embarrassing. Pathetic,1
vo35WtyqgUERmmPyLHqcFw,Seed Shack is a fantastic place for vegan foods. We signed up for the special Christmas Eve dinner to try them out for the fist time. We were not disappointed. The food was excellent. We liked it so much we came in the very next week for breakfast. Seed Shack is a great East Valley vegan dining choice. I would highly recommend them.,5
jTurOIN1grHqCB6QriAYPw,I'm going to start off by saying that I F'ing LOVE Margaritas. So naturally I love coming here every time I'm in Vegas. The Margaritas were delicious and the selection is pretty darn massive. I like to come here and chill out to get away for the shoulder to shoulder crowds and throw down some delicious Tequila. Side Note: While ordering my margarita at the bar some older man pulled out an 8 Ball of Cocaine and proceeded to cut it up on the bar WAHAHAHAHAH F'ing Vegas.,4
XufHa0oqXwmlKqIWo79sxw,"Just can't say enough about what amazing service we receive at this Streets Of New York location.  The food is always amazing!  Best thin crust pizza in the valley ... hands down.  Salads are delicious and the chicken is always juicy and tasty!!  Great food is why we come, but the service is just incredible.  Caroline the General Manager is running a top notch place, and clearly sets the example for her team ... and blows it out of the water with an amazing experience EVERYTIME!!!",5
Yyc0AEJqNJ67bNDqA7l_0A,"I arrived at this Grimaldi's to place a Take Out. The place was jumpin', they were slammed. But the hostess was excellent, operating the floor like a pro. Everyone was promptly greeted, serviced, and treated well. When I asked her to place an order, she let me know how long the orders were taking and never let me feel rushed. While I waited she asked if I wanted water. 

The service didn't stop with her. All the staff behaved like this. Eye contact, smiles, and eagerness. I observed other crew members helping customers with the same enthusiasm. 

Very different from other Grimaldi's I've been to. No wonder this place was packed.",5
ioxEHd-ml0eUzBNVLH_2aw,I had been with my nail place around 10yrs and was NOT happy. Came here and felt right at home! I'm never leaving them! Thank you Cindy! You are amazing!,5
V_I8X0h0eni2UZIQt4jhKw,"I have been taking my pets here for 6 years. I would not take them anywhere else. I have seen a few different vets in that time. All of them were wonderful but I would like to mention a few by name.

Dr Hughes was wonderful with my cat. He had kidney issues and asthma. I know that her care and innovative treatments both prolonged and increased the quality of his life.

Dr Holcomb has been taking care of my dogs for several years. One of my senior pups has kidney failure. When he was first diagnosed she literally sat on the floor and fed him kidney diet to see if it was a brand he would eat. She never rushes through a visit and answers all questions. She's so sweet and gentle especially to my pup who is very nervous at the vet. 

Dr Grzenda has been treating my other dog for a genetic eye disorder. She diagnosed the condition right away and I am confident that my dog is getting the best care to preserve the vision in her right eye.

The support staff is also amazing. For such a big place with lots of clients, I feel like they know me and care about my animals. 

I also want to mention the icu and the vet techs. Many vet practices are not staffed 24/7 which is one thing that gives me piece of mind about Animal Clinic Northview. I have had two animals stay in the icu to get fluids. You can visit your pet any time of day. You can tell that they all really love and care for their patients. They are very accommodating about allowing you to take your pet for a walk or just stay with them for comfort.

From the front desk to the payment department, the entire staff is top notch!

I know that several reviews talk about the cost of care. And it probably is higher than smaller practices, but I think it is very reasonable for the level of care that you get. You can also ask for an estimate for any procedure before it is done.",5
cEqge8aiZXVvyD8hOgDOWg,"I found this place on Yelp during my trip to Vegas and I had to make one last stop here before I drove back to California! I got the mentai creamy udon, while my boyfriend got the beef. I was a huge fan of the mentai udon! It has a slight seafood taste to it, but it wasn't too overpowering. Service was friendly as well! We didn't know about the Yelp check in for drinks until after we had paid for our food, but the cashier let us redeem it anyway (most places wouldn't allow that in my experience). During our meal, the employees would come by to check up on us, which doesn't happen most of the time at cafeteria-styled restaurants. I will definitely be coming back to this place everytime I'm in Vegas! :)",5
YdfyMF_-nUUiXCBYG4H2WQ,"An unassuming restaurant brimming with wonderful local produce, meats, and cheeses. Great service, great food. This was the dining highlight of my Montreal trip and I look forward to returning.",5
gTbQPjtTBHXgBCzzd7zgbQ,"The massage therapists here are really skilled & the location next to my gym couldn't be better.  I highly recommend getting the 90-minute massage with aromatherapy and hot stones, very relaxing!",5
I_wXX2FRNR1U5xunJByGuw,"Up early and headed out if town, QT stop!  QT kitchen folks always helpful & courteous, EXCEPT at this location. There was no acknowledgment what so ever, couldn't even manage ""be right w/you folks"".  I guess she needed every ounce of her concentration to cut a pizza. Ridiculous customer service!",3
MbJIu9JFZkNoAmeczIVbcg,"I love this place! Seafood and Meat selection are the best. 
Price is comparable to most Vegas buffets.

I rarely eat lamb and I really loved it. 
Their mint jelly was perfect here.

Dessert bar is better at Wicked Spoon but the food here is really good.

One of my favorite buffets in Vegas.",5
IdrTGW5x6GgGAtRYYICs0g,Very good food. We had the spicy soft tofu and kalbi; both very tasty. Highly recommended.,5
YYqvT97W8S_jMU-IP5-ehg,"The salon is part of a small strip mall.  The decor is modern and clean. All stylists were well groomed sporting a variety of hair styles, punky, mod, and classic.  Nicole was recommended by a friend of mine. She was professional, friendly, and knowledgeable. She gave me a safe cut, at my request, long ""shattered"" layers with long wispy side swept bangs. She listens well, which is a great quality in a stylist. Hair cuts are affordable.",4
IyuBcHUoWQfGJBHfil3Wng,"Horrible!! if you have 4 hours on ur hands to wait then this is your place, horrible food and service! and  thats not just from one visit its been 3 ( i thought i would give another chance",1
R9Xc88P6D2RC8BII3h2IIg,"Hands down the best vegan bakery in Toronto! 

Their donuts are perfect. Fluffy freshness all around. My favorite flavors are, Boston cream, cookies and cream, pumpkin, apple cider, chocolate raspberry truffle, and the berry. Ok, pretty much all the donuts I've tried are my favorites. 

I recently ordered a pecan pie from them and it was the best pie (vegan and non-vegan) I've had. Just the right amount of filling and the crust was ""buttery"" Crisp. Even the non-vegans were impressed. Which is annoying, as if they never had bad tasting non-vegan food. PUHLEASE! 

Mind you, I ordered the pie with gluten. Just because I'm vegan doesn't mean I'm gluten free, but they did have gluten free pies available for you celiac intolerants. 

Someday I will eventually try their meals, but with all those donuts, I tend to make them my meal replacement. :X",5
8M1iIKKWkchifWtU5FvF9g,"A nice little dog park that has benches, picnic tables, shade, and water.

Most of the park is dirt with grass around the perimeter.  I'd rather see the opposite, more grass than dirt.  

People don't seem to pick up after their dogs as I went around with the pooper scooper and picked up 3 large loads of waste without even trying.  Several waste bins are provided with several pooper scoopers available for patrons.  Waste bags are also provided near the entrances.

Access is via double gates to keep dogs from escaping.

I liked the bowls built into the ground that are fed with water bubbling up from below with which dogs can get a drink.",3
radNr8TUvPjvblZHm9wkmA,"Super cool old school bar. Cute cute decorations. But it's definitely a bit messy. The cold drinks are piled up in a small refrigerator below the bar. It looks a little like a cheap convenience store. But, don't sweat the small stuff, right? 

The cookies and the scoes and coffee are delicious. It's in a fantastic location, right next to the flying fig and across the street from Great Lakes Brewery. All places I've been dying to try. Coming here for a nice sip of coffee after going to the clinics and before dinner is just the perfect stress relief. Not my favorite cup of joe, but definitely the location and ambience make up for whatever the Koffie lacks.",3
pm4lvuqOt_ygaXmiCH7zaQ,"Samantha Walsh was absolutely stellar! A litany of buyer/lender snafus did not faze Ms Walsh. She ALWAYS answered every e-mail/inquiry quickly and succinctly keeping all parties in the loop.
I am no novice at escrows this was the 12th home I've sold and profited on- only the 2nd one in Las Vegas.  This was the best handled escrow I've ever been part of; cannot be handled any better than this.",5
XO6Fm-gaiGVLsglTM1hbNw,"We stopped in for appetizers. Although we had a great waiter, our starters were so-so. We tried the much tauted corned beef /cabbage taquitos, but were not impressed at all.  The spinach/artichoke dip with homemade pita chips were good, so would go with those again. Since we weren't wowed with the appetizers, we didn't stay for dinner.",2
oy_gMHRMHaib-WAigPhGtQ,"The service is always quick, the food is always good, and they usually have a couple beer/drink specials going on. We've gone many times and never left disappointed.",5
URhpIktbzCefu9tB9DGReg,I know this is a big business and prob will NEVER read this review but I was Sooo Impressed with the food at Freshi the MANY MANY times we ate here...Likd everyday! The employees were nice but it's just like a fast service you know so nothing over the top BUT the food is what gives it a5 STAR rating  THANKYOU for coming to CALGARY FRESHI!,5
Y3TJqPsmCx3fW0WRP7z4bA,Still my favorite meal since I moved to Las Vegas 7 years ago - and I've had many wonderful meals here. The French Onion soup is out of this world and comes in a huge crock. The filet mignon was melt in your mouth delicious. Highly recommend.,5
T2MM-X4ByZH4bMUI4W_Hog,"We loved the seafood. The waiter suggested The appetizers and they were great. The lobster sliders were amazing and also the lobster nachos were very good. Will go back again 
The service was great.",5
okLcFjtHvyVg8bdSpcKgTA,"Amazing food !! Great service, Very fast and accurate! 
Clean inside and out! 
Try the beef sandwich, dipped with hot peppers! Yum!!",5
vWJBiPoPdLs4vZ6lu6x8zA,"3.75. Went for a girls dinner recently. Everything was chill and tasty. Highlights for me were the lighter, smaller plates. Great for sharing. Beet salad and manchego cheese crustini. They paced things well and server was kind. A bit slow at the start and they had no ginger beer.   Wine list is great and creative. 

Not funky or cool really. More of a grown up, if slightly laid back vibe. The lighting is warm and romantic, with wine lining the walls. Older crowd. Good place for taking parents or colleagues. Also worked well for girl chats, which is what we were up to. 

Would go again but not in a crazy rush. Nice place to have on the roster for when you fancy a wine oriented meal.",4
oXUKTAWNHBdaP9yxebJSTg,Came here on a pretty quiet tuesday. Bartenders are super nice and made great drinks. Definitely worth the trip from the strip. One of the highlights of our vegas trip.,5
xmgsOU6rPQ1v0YMjkkl9dg,"I recently visited the Olive Garden location in Peoria. I have to say that this was the absolute worst visit I have EVER had in all of my years dining with this company. My mother and I exchanged our soups do salad as we have done in the past never thinking it was a problem, well we were most definitely wrong! When the server by the name of Adam came back to our table and instead of asking if we would like refills on our drinks, which we needed, he proceeded to pretty much scold us about switching soup and salad plates. He said to us and I quote ""JUST SO you know by switching plates I have to charge you, I knew it was going to happen it happens all the time I normally let it slide while at the table but JUST SO you know if you take any home or ask for refills I will have to charge you"" and it wasn't said in a quite voice either it was said loud enough so that other patrons could hear what was being said. I have never felt so humiliated while dining out ever!! There are ways to word things and get the point across in a polite and professional manner the way he handled the situation was completely uncalled for and very disrespectful. We were so embarrassed by the situation that we didn't even finish eating the soup or salad and requested boxes to box our barely touched dinners. We allowed him to box our dinner to ensure that he knew we weren't going to ""steal"" the remaining soup or salad. This experience has left such a sour taste in my mouth that I will never visit this particular location!! If I could give this location 0 stars for the service I would!",1
QSLZ7S6g9J3PSyITgDyeRw,"This is one of the best spots in town.  The atmosphere is fun and entertaining. 
The staff is friendly and the food is phenomenal!
Tasty doesn't begin to describe it. 

As far as price goes, you'll save a heap and not go home hungry for lunch!
The gumbo is fabulous and the mac and cheese is a definite yum!",5
rP6Vm-6LcRMryS4sOQEP0w,"In my recent quest for Montreal's best Ramen places
Yakoto Yakobai was first on the to do list due to the amazing yelps. Unfortunately,the few times we tried to get in this winter the line - up was way to long. Last night,however, was the perfect opportunity and we were seated immediately in a new section of the restaurant called Ichigo Ichi. So good news for all the yelpers like me who hate long lines. Now is  your chance to try this combination Ramen house and Izakaya as they have plenty of seating. Even better there is now a cool bar serving up very nice drinks where you can sample the best of the Ramen options and order off of the menu from the new Izakaya. 

I complement the design and the decor of this entire restaurant. It is authentic and at the same time has a cool industrial look that's akin to one of the high-tech sets that you might find on one of the food channels. I think they went all out on their kitchen which you can see as you are served in the Izakaya part. It's simply great.

As for the food, the Ramen lived up to all of the great reviews. It was absolutely delicious and totally authentic. The noodles were of the highest quality and the savory and creamy broth was exceptional. Clearly the Ramen bowls here are made with a lot of care and love. The Izakaya items that we ordered were beautifully presented and had everything you would expect of the tastes of real Japanese cuisine.
The avocado and salmon salad tartare was just plain yummy and really pleasing as it was served on a glass block. It also contained some of the  tastiest and crispiest Japanese rice chips that I've ever had. We also consumed a smoked salmon salad ,artfully presented with a great variety of lettuces and veggies on the plate, as well as scrumptious chunks of  in-house on demand smoked salmon. The fried chicken Kara-age was right on the money and should be entered in a championship competition.

We went easy on the Japanese tapas so there was room for dessert. We chose a green tea tiramisu and a play on ice cream and waffles utilizing mochi and green tea ice cream. Both were satisfying, unusual and pleasing to the eye which is a good thing when one opts for dessert.

Hands-down this is the best Japanese place in Montreal.  Its affordable, cool and hip. The staff were really friendly and they try very hard to please. 

New York has Ippuddo and quite a few other Japanese greats and I'm happy to say now Montreal has this place. I hope you yelpers out there will be kind enough not to storm this place after this and the many other great reviews as I'm hoping there will be a place for me when I return sometime very soon.",5
n2JZQdYMxueMYFmLGj16xQ,"Honeygrow is a great concept that Pittsburgh needs! Ordering at the kiosks really streamlines the process and allows guests to build their meal or snack exactly the way that they want. 

I ordered from the honeybar: yogurt, dried cranberries, blueberries, granola, and gingersnaps topped with clover honey. Absolutely delicious!

The little eclectic touches also make honeygrow charming--such as the ever-changing message board and the wordsearch napkins.",5
RDW_zrgDYLQ7-L7m3ltPCA,"I searched long and hard to find a good sushi place in Pittsburgh and finally found it the day I left. This place was great, they were fast, clean and welcoming! Jeff was very kind to me and we had a nice chat while I ate by myself. Thank you for having great sushi that would fit in anywhere in Los Angeles!",5
